标题,年份,类型,媒体类型,个人评分,观影日期,简介,封面,背景图,演员
好久不见,2018,,tv,6.5,2026-03-13,该剧以都市生活为背景，讲述了家境一般的花朵朵与富家大少贺言误打误撞相识，从水火不容到共同创业彼此许诺的故事。该剧于2018年3月26日在北京卫视、东方卫视首播，并在爱奇艺、腾讯视频、优酷同步播出。,https://images.tmdb.org/t/p/w342/nnU4nfadB0I6lpdcEDNxNAxlVTG.jpg,https://images.tmdb.org/t/p/w780/xLmUvramMwakXviQCPfJOXDJHG0.jpg,杨子姗;郑恺;张国立;江珊;逯恣祯;田雷;钟楚曦;周宸佳;王森;王建新
临时演员,2017,,movie,7.5,2026-03-11,梁丹妮（热依扎 饰）是演艺圈里冉冉升起的一颗新星，有着持续升温的人气和无量的前途。然而，一场意外的发生让狗仔记者们拍到了她和一个名为李非凡（郑恺 饰）的男子在旅店的亲密照，虽然这一切只是一场误会，但一切澄清和洗白都为时已晚。  　　实际上，梁丹妮已经有了一位交往已久的男友—— 地产富商石非凡（郭晓冬 饰），为了挽回女友的声誉，石非凡扎到了李非凡，给了后者巨额报酬，要求他成为梁丹妮的“临时男友”，经受不住巨大利益的诱惑，李非凡沦陷了。一边是养尊处优的女明星，一边是低眉顺眼的代驾小哥，这一对性格和身份迥异的男女凑到一起，闹出了无数的矛盾和笑料。,https://images.tmdb.org/t/p/w342/4Y6qaiZoNnCX2r9VmbRqMqmZa8j.jpg,https://images.tmdb.org/t/p/w780/pzG8u7Yb1JUyQpZBMLIfbcvTG4i.jpg,郑恺;热依扎;郭晓东;殷桃;林雪;林保怡
萨利机长,2016,,movie,9,2026-03-11,2009年1月15日，萨利（汤姆·汉克斯）在全美航空1549号班担任机长，飞机起飞两分钟后遭到飞鸟攻击，两架发动机全部熄火，萨利决定在哈德逊河上迫降，155人全数生还。但之后的调查显示他做了错误的抉择，认为大可选择返回拉瓜地亚机场。机内到底发生了什么呢？,https://images.tmdb.org/t/p/w342/h0EXy3NqR3q5rkHFIDTpDqtfgET.jpg,https://images.tmdb.org/t/p/w780/oQ024BtJgArg8WI4zfuc2vkCJno.jpg,汤姆·汉克斯;艾伦·艾克哈特;安娜·冈;霍特·麦克卡兰尼;迈克·奥麦利;杰米·谢尔丹;维勒莉·玛哈菲;Delphi Harrington;艾哈迈德·卢坎;劳拉·琳妮
壮志高飞,2021,,tv,8,2026-03-10,仲夏航空副驾肖默在一次飞行途中意外发现火情，间接造成了航空公司太子爷夏宇母亲过世。尽管公司最后判定肖默没有责任，但肖默还是因为内疚辞去飞行员职务，成为了一名维修师。两年后，肖默重回飞行队，在航校复训期间重遇已是飞行学员的夏宇，两人更意外都喜欢上了性格率真的女飞吴迪，三人陷入了情感纠葛。此时一份未完的调查报告突然出现，两年前未知的真相让众人对肖默怀疑再起，眼看肖默再次面临停飞，吴迪的心也开始渐渐向夏宇靠拢。此时的肖默不再退缩，用尽方法查出两年前事故的来龙去脉，肖默力证了自己的清白和作为一个飞行员的实力，再次重返蓝天。,https://images.tmdb.org/t/p/w342/zs9lAXkMXpWz8xp0WOvGixeQJRC.jpg,https://images.tmdb.org/t/p/w780/t9je3LHS9ZVBn99D1tAlLpKfoFT.jpg,陈乔恩;郑恺;朱梓骁;吕一;胡兵;赵子琪;吴建飞;许潇晗;刘卫华;于垚
一见不钟情,2014,,tv,8.5,2026-03-09,费洛洛是一名婚礼策划师，从小成长在幸福美满的家庭之中，从事的又是给人牵线搭桥的事业，费洛洛对于爱情抱有着天真而又浪漫的想法。陆哲希的爱情观和费洛洛恰恰相反，从小就见识过人情冷暖的他早就练就了一副钢铁心肠，因此，长大后，他成为了一位出色的“分手专 家”。就是这样两个性格迥异的人，他们相遇了，随着时间的推移，费洛洛从陆哲希的冷漠和封闭中看到了善良与渴望，陆哲希亦被费洛洛的乐观和开朗所打动，就在两人即将走到一起之时，陆哲希的前女友瑞芝突然现身，她的出现给费洛洛和陆哲希之间的感情带来了毁灭性的打击。,https://images.tmdb.org/t/p/w342/mxhSxRj3Wb3MYdeoRwK9WcObjDV.jpg,https://images.tmdb.org/t/p/w780/oezSznhLSfgX9kvU3prDiKbAVKO.jpg,杨丞琳;郑恺;杨壹童;张勋杰;纪宁;恬妞;邵雨薇;董可飞
升学宴上，我为儿子一局翻盘,2026,,short,7.5,2026-02-25,在江城赌坛曾被誉为“赌圣”的李玉梅，带着年幼的儿子赵钦锋隐姓埋名，躲进偏远农村靠卖菜为生。她将千术绝技深埋心底。为救独苗，隐退多年的赌圣李玉梅被迫重出江湖，踏上赌桌。然而在追查赌局黑手时，她竟发现十八年前丈夫的惨死，与今日的陷阱有着千丝万缕的联系！,https://p3-reading-sign.fqnovelpic.com/novel-pic/0a4db26d3f54b498764159074c31a25f~tplv-81nmtwyey9-superreso-aifit:1200:0.image?lk3s=253f70db&x-expires=1777259920&x-signature=DczvBAWOuimcpMcpOQlKH%2FsTGFE%3D,,武帅康
婆婆要我假离婚，我假戏真做,2026,,short,6.5,2026-02-25,沈青嫁入刘家，彩礼寒酸，受尽婆婆的轻蔑。可当小叔子订婚，婆婆豪掷千金，更当众羞辱沈青是小门小户。丈夫不仅不维护，反而动手家暴。彻底心死的沈青与闺蜜暗中布局，合演一场老家拆迁，每人可分八十万的大戏。贪心的婆家立刻变脸，主动补彩礼、迁孩子户口，更为了多分钱怂恿“假离婚”。沈青顺水推舟，将房产车子全部过户己有。离婚证到手，她立刻带儿子消失。这场精心设计的复仇，让贪婪者吞下自己种下的苦果。,https://p6-novel.byteimg.com/novel-pic/66f792b3f740c043989f7f29b5b5dad0~tplv-shrink:640:0.image,,刘皓圻
热血乒乓,2025,,short,8,2026/2/24,球王林峰统治乒坛十二年，却遭至亲背叛，身败名裂后被禁赛，他发誓不再碰乒乓球拍，隐姓埋名在白龙小学做数学老师。校长张玉兰为孩子们前途，申请到青训补助款，却被市重点小学抢夺。重点小学体育老师讽刺白龙小学异想天开。为拿回钱款和荣誉，张玉兰不自量力向乒乓强校求精小学发起决战。白龙小学陷入绝境，发誓不再碰乒乓的林峰被孩子们触动，终于重返赛场。他以绝对实力宣告王者归来，为白龙小学赢得荣誉。,https://p3-novel-sign.byteimg.com/novel-pic/9ae324b8f70365a44b68533754025b0c~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1779465543&x-signature=NldYDuWeIfTZRJEt8xttbbRj%2FAo%3D,,秦远
决战前,2012,,tv,8,2026/2/24,1939年，第一次长沙会战结束。日军利用汪伪政府源源不断的军需物资补充，准备开始第二次长沙会战，汪伪政府特派员唐宗年负责与日方谈判。军统上海站站长、少将冯楚良奉戴立命派刺客叶锦堂刺杀唐宗年。与此同时，上海地下党韩冬麟接获上级命令，证实唐宗年有意将汪伪政府的卖国行径诏告天下，必须倾全力保护唐宗年去香港。一场刺杀与反刺杀的活动展开，我中共地下党联合军中抗日爱国志士，联手破获日军重要情报，铲除了潜伏在军统组织里的日军间谍，确保了第二次长沙会战中国军队的胜利。,https://image.tmdb.org/t/p/w342/ofhGDHoH8a7m42whFSs2RIctc6z.jpg,,杨溢;张晨光;万茜;侯煜;吕凉;三浦研一
劫中劫,2014,,tv,8.5,2026/2/24,该剧讲述了抗日期间，爱国勇士和侵略者围绕一艘装载秘密武器的巨型海轮展开的一场斗智斗勇的生死较量。,https://image.tmdb.org/t/p/w342/v3bfVL2K22TXhTqBuh6bRkJoyBw.jpg,https://image.tmdb.org/t/p/w780/es3FfMvdh1NNR3Jq16USbct02Jn.jpg,郭晓东;杨溢;贾青;万梓良;吕凉;三浦研一;侯煜
知京冬风雪,2026,爱情;剧情,short,8.5,2026-02-22,2025年大年夜，林知允借了知名大律师袁逐风的打火机。在那个孤寂的夜里，袁逐风点燃了属于林知允的新年烟火，也点燃了她骨子里的火。那之后，林知允悸动克制，袁逐风宠溺放纵，他极富耐心，替她遮风挡雨，手把手的教林知允勾引自己，指引着她入侵他的世界。我爱你，但你是自由的。无需等待冬天过去，但盼风雪来，与你共白首。,https://p6-novel.byteimg.com/novel-pic/74acdb132758b9e0a466cc821506ecaf~tplv-shrink:640:0.image,,王凯沐;王格格
玄学老祖靠直播算命爆红全网,2026,,short,8,2026/2/21,玄门传人霍凝意外穿越，成为被家族抛弃的丑女。为还债她摆摊算命，凭借玄学术法爆红网络，却逐渐发现原主母亲的家族遭生父霍振廷用邪术迫害。霍凝一边直播助人解厄，一边追查真相，最终揭穿父亲、继母与继妹的阴谋，化解家族诅咒，让恶人自食其果。她则带着徒弟逍遥度日，继续以直播算命帮助众生。,https://p6-novel-sign.byteimg.com/novel-pic/4dcbeb2aa9f1611cd17a2ba9146ddfb1~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1777427903&x-signature=3RuAmDdEQr7sIWn49dhQy4cYl3s%3D,,朱茉颜;左铭
无声的誓言,2025,,short,8.5,2026/2/21,1937年夏，日军于滨江演习。成玉化名邮递员陈明追求梅香，卷入“杀其马计划”风波。其父成震山遇刺前将计划托付成玉，命其等待联络人。成玉发现梅香实为日本间谍。核心人物乔俊生牺牲后，成玉与司机阿昌、潜伏警员严若男合作，从八音盒中破解加密文本。梅香纵火逼计划，被成玉反杀。严若男身份揭晓，实为俊生妻妹。成玉加入抗日组织，与严若男因任务分离。最终，“杀其马计划”重启，众人奔赴前线。,https://cdn.zhaoduanju.cn/cover/2025/12/MWMDNcIqLIrMfUTGj0ewlfBjasLTIlnFbCBWG4QU.jpg,,左铭
千门无间,2026,,short,8.5,2026/2/5,北派千术天才吴赦为给哥哥报仇接受卧底任务。为了接近目标赌王宋清河，深入黑帮救下其妹宋之遥，并通过高超千术赢得了宋清河信任。但却意外发现杀死哥哥的仇人就是宋清河，吴赦一边伺机复仇一边洞察到更大的阴谋——倭国赌神鬼王企图倾吞龙国赌业。吴赦在宋清河的牺牲铺路下，潜入鬼王的队伍，在终极对决的“深渊赌局”上完成了复仇。,https://p3-novel-sign.byteimg.com/novel-pic/fb2ea89804d572a4d779dea74d32464f~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1777997092&x-signature=X1RmGKEIAaOzZ9h4HFweb9klxGk%3D,,王凯沐
离婚，先问过我公婆再说,2025,,short,8.5,2026/2/3,金牌翻译宋金金穿书成男主陆砚川的炮灰前妻，为避渣男叶景和，恳求在陆家多住一月。她一改原主傲慢，主动做家务、展翻译才华赚钱，获陆家众人改观。相处中，宋金金与陆砚川关系缓和，团建打卡、应对意外时渐生默契，陆砚川也被她吸引，默默守护。在陆家温情中重思婚姻未来，陆砚川对她的情感亦悄然改变。,https://p6-novel-sign.byteimg.com/novel-pic/30b1589f620687232ac15b42bb51105d~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1775359804&x-signature=kRB8YlThA2FiRHPRSXkpuiqIxjw%3D,,徐霄
端脑,2017,,tv,8.5,2026/1/18,少年夏驰天性纯良、聪明缜密，是学校推理社的成员。在一次推理社活动之后，接触过“季陆案件”的夏驰女友晴知神秘失踪，为了寻找晴知，夏驰和好友孟秦无意中发现了一个名为“端脑”的虚拟游戏组织，并一起进入了端脑游戏的世界。在一局一局的推理游戏中，夏驰和孟秦经历了各种人性和智慧的考验，也目睹了这个游戏背后“端脑”组织拥有的巨大权力和财富，更不断怀疑和挑战着这个游戏的最终目的。经过各种九死一生、危险重重的考验，夏驰最终抵制住来自“端脑”世界的种种诱惑，救出了晴知，揭开了端脑游戏的真正目的，并发现了与地球处在平行宇宙中的另一个星球的存在。而端脑，则是这个星球为了平衡两个宇宙而打算消灭地球文明的一个危险计划,https://image.tmdb.org/t/p/w342/klID8sCRD15M30NBUmgB8INiSgE.jpg,,朱元冰;蒋依依;杨奇煜
我的朋友安德烈,2026,,movie,8.5,2026/1/17,性格迥异的李默（刘昊然 饰）与安德烈（董子健 饰）因为足球成为知己，而一场意外却让安德烈跟随年少往事一起消失在了李默的记忆中。多年后，李默在为父亲奔丧路上与安德烈“重逢”，一段尘封的回忆被逐渐揭开……,https://image.tmdb.org/t/p/w342/rEZ64PPreR93T56gfYjf9pRbvU9.jpg,,刘昊然;董子健
诡舍,2025,,short,9,2026/1/16,未来夏国，杀手宁秋水误入神秘别墅诡舍。诡舍主理人言叔告知他，唯有进入异空间“血门”并战胜其中的“魅”，方能活命。在第一道血门中，宁秋水识破了伪装成女主人的“魅”，顺利通关，而第二道血门考验更为艰难——他必须化解一场横亘百年的恩怨，才有机会逃出生天。,https://p3-novel-sign.byteimg.com/novel-pic/aa6fa6cc47f2344425c1128141117ea6~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1774802357&x-signature=j%2BSSQeqAigwcM0%2BppMxtTkJU6mc%3D,,赵志伟
我的大叔,2018,,tv,9.5,2026/1/15,韩国tvN于2018年3月21日起播出的水木连续剧，由《Signal》金元锡导演执导与《又，吴海英》朴惠英作家合作打造。此剧以拥有相同沉重的生活负担40岁男人与20岁女人出发，讲述他们互相观察并治愈对方的故事。,https://media.themoviedb.org/t/p/w440_and_h660_face/n1SZlu1yWqQYYkSXbV2Smzp4rrs.jpg,,李知恩;李善均;高斗心
台风天，镜子叫我别开门,2025,,short,8,2026/1/6,台风天，白富美沈宁本想让男友程远来家避难。开门前却在穿衣镜中预见未来惨状——被凤凰男的全家囚禁逼婚虐待致死。程远带着全家人在门外敲砸诱骗，沈宁隔着一道门与之周旋，斗智斗勇，最终设局掌握证据，将程远送进监狱。两年后，镜子突然再次亮了起来。沈宁看到，刚出狱后的程远不知何时站在她身后，死死捂住她的嘴。,https://p9-novel-sign.byteimg.com/novel-pic/b93eeda66d5ad9d2efd0ac7001cb3768~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1775535498&x-signature=yVdk7qOzNeXFkYapbvhfQPuy%2Fzk%3D,,齐宥澄
七零养娃日常,2025,,short,8.5,2026/1/2,天才医生李欣玥穿成了七十年代的军嫂，却也是一个五年来男人不闻不问的女人。军官老公因被原主强嫁了，新婚次日就离开了，一走就是五年。留给她的是一个比猴子还轻的儿子、一个极品到无语的婆家……李欣玥知道军官老公不爱原主，甚至这孩子也是原主给军官老公下药来的。现代女性，能屈能伸，既然不爱，那就离吧！军官老公因此展开漫长的追妻之旅。,https://p9-novel-sign.byteimg.com/novel-pic/b3cda914247bb17a8334a5d8e107c8a2~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1774788878&x-signature=37krX9w0ek6XzAX7AIH9EPjihtM%3D,,王凯沐
诱色沉沦,2025,,short,8.5,2026/1/2,白以沫被囚禁为替身，仅因自己长得像大哥陆烬白月光。二弟陆凛蓄意接近，看似“救赎”，实则将她训成复仇的“玫瑰毒刺”，不料棋手沉沦，反陷情局...... 她成为他命中的劫，亦是救赎的解…… 三人深陷爱与算计的修罗场，以身为棋，终局谁赢？,https://cdn.duanjubaike.cn/cover/2025/12/SucJ2kM3ckuT4dl9XhPvy9ZBKbYOdDOutwf5HSSE.jpg,,刘昱晗
那货带去的景区能考古,2025,,short,8.5,2025/12/28,胰腺癌晚期的江叶绑定位面旅游系统，以完成任务换取寿元和奖金。他带领游客穿越秦朝、唐朝、明末等多个朝代，见证历史、助力先辈，既为古人带去物资与技术，也收获珍贵文物与声望。历经无数惊险与感动，江叶不仅成功延续生命、治愈癌症，更在时空穿梭中书写了一段段跨越古今的热血传奇。,https://p3-novel-sign.byteimg.com/novel-pic/4c23e533278495ef310a1e5a5b7fbf9c~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1774707761&x-signature=LJ%2BfQhrPePHDXtO09Gc0%2F477Mhg%3D,,孔奇力
时光邮局,2025,,short,8.5,2025/12/27,知名作家顾知秋意外靠一本日记，跟7年后的女儿嘉嘉联系上。7年后的嘉嘉告诉顾知秋，她的爸爸，也就是顾知秋此刻的未婚夫萧俊昭，不仅背叛了他们的爱情和家庭，还将她害成了植物人。洞悉一切的顾知秋，决定改变自己和女儿的命运。,https://p3-novel-sign.byteimg.com/novel-pic/869b7f537c93e405b05b25fa2fb23536~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1773499250&x-signature=ycLJC5TVR3DmasG5stFfiGRiWCY%3D,,金昊泽;李永鑫
以学为刃：真千金她逆流直上,2025,,short,7.5,2025/12/23,林思望是山河省的贫穷学霸，梦想考上清北，却因分数不够陷入焦虑。高三一模后，她意外得知自己是北城豪门苏家被抱错的真千金。本以为能借此获得更好的教育资源，却发现苏家全员偏心假千金苏小爱，对她百般刁难。面对虚伪的亲情，林思望清醒拒绝PUA，专注学习，最终以高考状元身份逆袭。而苏家因偏心假千金导致家族衰败，假千金身败名裂，林思望成为人生赢家。,https://p3-novel-sign.byteimg.com/novel-pic/9817b636b7b57ba9791a9c46232b85d6~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1774228731&x-signature=%2FK1GKOs%2FYB6kYT1%2FFuvXlYrP9s4%3D,,王倩
霍先生的在线追妻日记,2025,,short,8,2025/12/23,夜店下药意外，外卖员林楠因与霍氏总裁霍珣纠缠，遗落玉佩并怀上龙凤胎。妹妹林晓棠冒名顶替，偷走女婴霍念希。四年后，林楠因为救患心脏病的儿子林念安，应聘霍家保姆与霍珣重逢。玉佩与血缘线索揭开真相，林晓棠受惩，一家四口终团圆。,https://p3-novel-sign.byteimg.com/novel-pic/2016c5c71ddd53e64e0ba2d532982a82~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1774232121&x-signature=ULFpcjpwNsG9Sp1UgVkotkc14%2B8%3D,,武帅康
重生后，拯救我的傻儿子,2025,,short,8,2025/12/21,林溪然生下一对龙凤胎儿女后，突发一场意外，为救儿子林研舟遭遇车祸身亡。意外穿越到了20年后，重生后发现儿子林研舟被“白月光”白玲蒙骗。老公陆予安又因失忆误认陈明轩为子，被继子陈明轩母子算计，家产被霸，被陈家母子利用后还险些失去亲生子女。女儿陆璃月也因为父亲失忆被继母陈思媛母子虐待，流落街头。但穿越后的女主林溪然其实隐藏身份是金融大鳄，资产雄厚。凭借重生优势步步为营。,https://cdn.duanjubaike.cn/cover/2025/11/g66Ul4KQrOptnKh7M7ULRY0sBK7LVqH772o3CG85.jpg,,杨璐
第一百零一次睁眼,2025,,short,8,2025/12/21,女主林梦然陷入了一场诡异的死亡循环，在她和丈夫周明的纪念日这天，她被人杀害，却都会在纪念日的早上六点准时醒来。不知道哪一次死亡是最后一次，她不得不为自己争取一线生机，和幕后凶手斗智斗勇，一层层挖掘出背后巨大的阴谋。你以为的凶手，真的是凶手吗？你以为的盟友，真的是盟友吗？,https://p9-novel-sign.byteimg.com/novel-pic/ef4a1bc0b72bd1b66951865ec100204d~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1773294515&x-signature=VaGexp4n9auw%2FXJigHeHxfBIuuA%3D,,孟祥鑫;杨璐
想见你,2022,,movie,8,2025/12/20,一卷神秘的卡带让黄雨萱拥有了特殊的能力。她能否回到过去，改变相恋多年的爱人李子维的命运？错过的恋人们是否可以重新开始？爱让一切有了曲折，也有了力量。,https://img.ffzy888.com/upload/vod/20230508-1/13b8afd259f2aa07ca16000347d64828.jpg,,柯佳嬿;许光汉;施柏宇;金世佳
她的好感度，竟能兑换神级技能,2025,,short,8,2025/12/20,生日当天撞见女友赵倩与徐占龙的背叛，林浪意外觉醒“拯救就变强系统”，提升好感度即可解锁技能与奖励。他凭神级医术治好房东顾可情之女，斩获万华酒店百分之五十一股份；靠鉴宝能力助校花周梦瑶脱困，赢得奥顿庄园。同学会上，引得刑警姜桃花另眼相看。此后林浪一路开挂，助顾可情拿下大厦创办公司，帮周梦瑶识破徐家阴谋，更联手姜桃花将买凶杀人的徐兆海绳之以法。最终事业爱情双丰收，与周梦瑶甜蜜相守。,https://p9-novel-sign.byteimg.com/novel-pic/1416a44753772aefdcdccf80efc474b8~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1773972595&x-signature=qbjIQAdxMsCt3J%2FRQgXCB%2B%2FxT%2B4%3D,,王成
重生1998：被美女老板倒追开始逆袭,2025,,short,8,2025/12/20,李霖春重生1998年，复仇绿茶表妹赵玲玲和导师黄旭东，揭穿他们诬陷自己的阴谋。他断绝亲缘，联手未来女首富孙芸拯救工厂，夺回被舅舅赵刚霸占的房产作为创业资金。凭借预知能力，他修好进口机器、挫败商业阴谋，帮助工厂起死回生。最终，赵刚夫妇入狱，赵玲玲身败名裂，李霖春斩断过去，携手孙芸开启商业帝国之路，誓要登上首富之位。,https://p6-novel-sign.byteimg.com/novel-pic/6afa2b8a0744168a15aa7d69adfe493d~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1773802976&x-signature=zH%2FN9tXYbF6fmoFtnP1ejFyQEDc%3D,,王成
独居女孩,2025,,short,8,2025/12/18,年轻插画师林晚蜗居在霓虹渐暗的都市一隅，她的平静独居生活被一系列诡异的窥探事件打破。当她发现自己竟成为一位连环杀手的下一个目标时，冰冷的恐惧瞬间将她吞噬。杀手早已潜入她的公寓，黑暗里，猎手享受着猫鼠游戏的乐趣，而林晚在生死边缘的极致恐惧中，被迫激发了所有求生本能。然而，在绝境的反抗中，她意外揭开了杀手面具后的另一重身份，一个与她过去有着隐秘联系的惊人真相。,https://p6-novel-sign.byteimg.com/novel-pic/e67f457446263381e38af6b05f8255c3~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1772520167&x-signature=8czhxZgMa8VRSdheJASajMmEN7M%3D,,
夜梦时分,2025,,short,8,2025/12/17,深夜，谷小雨发现室友王甜儿梦游，机械地重复“切西瓜”的动作，行为诡异。次日，王甜儿解释自己常梦见在瓜地挑西瓜，但众人不以为意。当晚，王甜儿再次梦游，用水果刀袭击谷小雨，被其他室友制止。王甜儿搬出宿舍，为自证清白，扔掉所有刀具并录制视频。不久，楼上204宿舍发生命案，谷小雨三人怀疑王甜儿梦游作案，但警方调查发现凶手未从正门进入。,https://p9-novel-sign.byteimg.com/novel-pic/ecc64e60d202efde29a35079f3d55839~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1773913195&x-signature=4dAIYZUO7atZx9JcMhBArBMQ7WQ%3D,,李悦暄
天降萌宝：摆摊妈咪请签收,2025,,short,9,2025/12/10,六年前，在ktv兼职的沈雨薇意外与顾氏集团总裁顾淮一夜情，生下女儿。时隔多年，顾淮早已找回女儿顾念念，却一直没有找到那天与自己发生关系的女人，因此认为孩子亲妈是一个抛家弃子、没有责任心的渣女，放弃了寻找。直到顾淮意外与沈雨薇相遇，在女儿的撮合下与沈雨薇堵住家庭的催婚，却越来越不受控制地真的爱上了沈雨薇，也发现了沈雨薇与他痛恨的渣女一模一样的蝴蝶印记,https://p9-novel-sign.byteimg.com/novel-pic/3962eb2ae5f39bec414dd84ed2e7e4ec~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1770699465&x-signature=A6xaFX6%2F1PFRLuNMl5yJkoQpifI%3D,,武帅康
软糖女王重启计划,2025,,short,8,2025/12/8,上一世一心扑在学业与研究上的姜梨，被姐姐姜曼和未婚夫裴玄联手窃取了属于自己的科研成就，并被诬陷为惯三海后。姜梨于发布会上死在了众人愤怒的脚下，死后才知唯一维护自己的只有被裴玄称为‘卑鄙小人’的顾怀瑾,https://p9-novel-sign.byteimg.com/novel-pic/544babae6ae17238a30acb44893c7ec5~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1772343665&x-signature=K9vdJ7TEsFSG6KKrCtAGqMlRMrY%3D,,武帅康，易恒
大孝子,2024,,short,8,2025/12/8,陈伍华作为一个鳏夫，人生唯一的目标就是把儿子陈家宝抚养长大。对于儿子的提出的要求，他都尽量去满足。然而陈家宝不仅不知道感恩，最后还越来越虚荣，对着自己的父亲动辄打骂，拿不到钱就恶语相向。而长期的折磨和劳作，让陈伍华患上冠心病晚期，陈家宝得知此事后，竟然拿了家里全部的钱去买新款手机，任由陈伍华被病痛折磨，命不久矣。就在绝望之际，一张陈伍华顺手买的彩票，悄悄改变了他的命运。,https://p3-novel-sign.byteimg.com/novel-pic/5113c21962b2f4949a96eaee086a6fe4~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1772976276&x-signature=TRRQJe5hSN1Z83wtyNLouGLIlaw%3D,,武帅康
我能看见未来,2025,,short,8.5,2025/12/6,上班族方休遭遇车祸后，意外获得“死亡回档”的能力。从梦中惊醒，一个神秘女子自称是他老婆，并在发现方休能看见自己后，对他展开循环追杀。死亡与重生中，方休逐渐掌握了看见未来的诀窍。在挣脱诡域后，他发现自己此时所处的虚拟世界已被诡异入侵。为求生存与真相，他加入诡秘调查局，在一次次危机中接近被层层掩盖的世界真相与幕后黑手。改编自番茄小说《至死方休！》又名《死亡十万次，我在诡异世界封神》，作者“六个葫芦”。,https://p9-novel-sign.byteimg.com/novel-pic/699990de5cdecf9585deb84787d645d3~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1771986834&x-signature=FvVz2qqbS%2BmaOUg7IH64uA%2B3sdA%3D,,史元庭
致命来电,2025,,short,8,2025/12/6,开学前夜，卦象显示大凶，霍情警告室友，梦中如若有人找你搭话，切勿回应。郑茜飞不以为然，当夜便梦获帅哥电话。她沉迷于与他的深夜热聊，日渐憔悴。霍情惊恐地发现，那微信号的主人，竟早已不在人世！为证明男友真实，她深夜赴约，却不知自己正一步步踏入恶灵精心编织的陷阱，而一场跨越阴阳的致命危机已悄然降临。,https://p3-novel-sign.byteimg.com/novel-pic/d70c4ee8ce41183e8a098a1992130722~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1772595716&x-signature=F8FCum2CkHvtEeM5NcPd2EYJGYw%3D,,吴毅非
打工神尊,2024,,short,8,2025/11/30,无良工头扣我工资还抢我钱，我当着警察的面儿，让他进了医院。不要误会，人不是我打的，是他老婆打的。,https://p6-novel-sign.byteimg.com/novel-pic/f8617bdd0a4b33df131feb34ce4e25d0~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1771317457&x-signature=qZyLB1DpTkgF5f16KJC2mKucoyU%3D,,李若琪;阎论
神秘数字,2025,,short,7.5,2025/11/27,农村青年李铁柱意外受伤后，发现自己看到的每个人头顶上都会出现一组神秘数字，数字大小不一，随时变动，尤其是婶子张彩凤头顶的数字变动最为剧烈，李铁柱在好奇心的驱使下，刻意和张彩凤接触，近身观察，定要探究出神秘数字的最终真相。,https://p6-novel-sign.byteimg.com/novel-pic/eeedeec653d9a8b3b1a71b0e9df4dc4b~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1771408251&x-signature=ooRoQTva%2BTvBpU7IxS0cKZ0ceUA%3D,,何连飞
暗潮涌动,2025,,short,9,2025/11/25,卧底情侣上线即高危！狙击手与顶级特工伪装恋人潜伏，步步惊心的任务里情根深种！1940年，王牌狙击手佟雪与顶级卧底沈少尘，为潜伏任务被迫假扮情侣同住。表面是郎才女貌的恩爱眷侣，实则是默契十足的战友，联手拆解危急、传递情报、狙击敌特，数次在鬼门关边缘完成高难度任务。刀光剑影中，伪装的亲密渐生真心，试探与守护交织。当身份危机逼近，两人能否在敌巢中守住信仰，亦守住悄然萌芽的爱情,https://p6-novel-sign.byteimg.com/novel-pic/132ab51e856c7efc4b64cc651491dff8~tplv-resize:0:720.webp?lk3s=4a76a7c7&x-expires=1771777762&x-signature=5i3dv6uf8V1ecr1%2B%2FO1hmnTxhxY%3D,,王小亿;刘萧旭
