标题,年份,类型,媒体类型,个人评分,观影日期,简介,封面,背景图,演员
触不可及,2025,,movie,8.5,2011/11/2,因为一次跳伞事故，白人富翁菲利普Philippe（弗朗索瓦·克鲁塞 Fran?ois Cluzet 饰）瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德...,https://img.wmdb.tv/movie/poster/1608800493746-bee2d1.jpg,,奥玛·希
爆丸小子,2008,,tv,8,2009-08-30,宇宙历元年，地球上所有的人们都在大肆庆祝，平时热闹非凡的北武市海滩显得空空荡荡，只有少年周毅火孤单的坐在海滩上，他正通过一 种机器装置，和他的海豚朋友KIMMY聊天，向它诉苦，因为自己成绩下降不少，物理考试不及格，父母不带他去参加盛大的庆祝活动。就在这时，他被几道剧烈的光亮吸引，他发现光亮是从自己家邻居楠博士的房间中传出的，于是躲在窗外一探究竟。被人称为疯狂科学家的楠博士，正在进行一项神秘的实验。博士手中的一张神秘卡片引起了周毅火的注意，这张卡片看上去非常古老，博士对卡片也是小心翼翼格 外重视，博士经过精确的计算，通过一种装置给卡片分别注入了六种颜色的能量，奇怪的事情发生了，卡片突然发生巨变，卡片被六种能量激活，打开了一道空间之门，将楠博士吸了进去，消失的无影无踪 。,https://images.tmdb.org/t/p/w342/56YSiuMwjzRGtA7AD2WUfM9PQva.jpg,https://images.tmdb.org/t/p/w780/dP7l39BH2tfJZnUk9GVZI7gCsxI.jpg,王成;张磊;蒋俐玮;郗席曼
爆丸小子,2025,,tv,8,2009/8/30,《爆丸小子》是由上海炫动卡通卫视、广州可帮影视文化有限公司联合出品的科幻题材儿童电视剧，由刘崇杰执导，马楠编剧，王成、李铭祖、蒋俐玮等联合主演。 该剧讲述少年周毅火为拯救地球，与伙伴们同各路对手展开爆丸竞技的热血故事。,https://pix2.tvzhe.com/thumb/drama/1/711/270x360.jpg,,王成
败犬女王,2025,,tv,9,2009/1/1,单无双，33岁，一个生活塞满工作的女性上班族。也许经过多年的努力，工作有一点成就，可是她却单身，孤单一个人。不只对象越来越难寻获，可恶的是随着年龄的增加，身价更是越来越下跌!!在台湾，年过三十三，对象难寻的单身贵族遍布成河!!,https://image.tmdb.org/t/p/w500/mYxE9ULl19MniS2l3BZPDjbrcrE.jpg,,杨谨华;阮经天
命中注定我爱你,2025,,tv,9.5,2008/11/8,“便利贴女孩”陈欣怡为了挽回新任男友古驰，请男友登上了浪漫豪华游轮。不料阴差阳错进错房间，糊里糊涂的和被下催情药的富少纪存希发生关系。莫名其秒失去了第一次，被另结新欢的男友嘲笑，而且负债20万。决望之时在甲板巧遇纪存希，纪存希带她在游轮的赌场里大出风头，并且狠狠教训了花心的古驰，之后二人又在众人的见证经历了一次浪漫的订婚仪式。游轮到达终点，灰姑娘陈欣怡又回到了现实生活中。一个月之后陈欣怡发现自己怀孕了，怀了那个叫纪存希的男人的孩子，仿佛就像是命中注定，“便利贴女孩”和“优质王子”因为这个孩子又一次相遇……,https://image.tmdb.org/t/p/w500/inc2OdWOTtyfb49C9aTWQXxWUYP.jpg,,陈乔恩;阮经天
藏地情书,2026,,movie,8,2026-04-13,毛铭基（屈楚萧 饰）和傅真（邱天 饰）在拉萨相遇，并和子琪（马苏 饰）、李健（张宁江 饰）、达娃（金巴 饰）结伴前往珠峰大本营。历经各种波折后，毛铭基和傅真二人之间产生了纯粹且强烈的爱情，但两人都未在即将结束的旅途前表达爱意，他们最终能否知晓彼此的心意？,https://images.tmdb.org/t/p/w342/vMIwHcNgDU9kMObDcSx1V6FFJzY.jpg,https://images.tmdb.org/t/p/w780/fmLGt8ESbnZ2NU07JDneQXiFq3i.jpg,屈楚萧;邱天;马苏;张宁江;金巴;党浩予;班玛加;才丁扎西;巴金旺甲
媚者无疆,2018,,tv,8,2026-03-26,晚媚是一个身世悲惨的女孩子，本名苏七雪，被自己亲爹卖进妓院后，凭借着自身刚烈的个性和危机时刻临危不惧的胆识，成功的逃过了一劫，后来苏七雪辗转来到了姽婳城，这个被誉为“活人的死路，死人的活路”的地方，并被赐名晚媚，她被宿命推向了更大的漩涡。晚媚在姽婳城想要活下去，就必须要杀人，并且不允许失败，失败了就代表着死亡，幸运的是她遇见了影子长安，长安承诺了她不负一世。,https://images.tmdb.org/t/p/w342/5MJmxLkKWTtXdzFvTlARBJeu9C5.jpg,https://images.tmdb.org/t/p/w780/o1Uz0TXHnU8XSfWUdjjsWXJNnKM.jpg,李一桐;屈楚萧;汪铎;郭雪芙;李子峰;徐洁儿;柴鸥;李羿瑄
流浪地球,2019,,movie,8.5,2026-03-26,近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启长大，他带着妹妹朵朵偷偷跑到地表，偷开外公韩子昂的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望……,https://images.tmdb.org/t/p/w342/tXuQCgx69DxVgeTsU0TkruR3i9O.jpg,https://images.tmdb.org/t/p/w780/3PjpT6wBsfXawa1PPTEkYGHRaYs.jpg,吴京;屈楚萧;李光洁;吴孟达;赵今麦;隋凯;屈菁菁;张亦驰;杨皓宇;阿尔卡基·沙罗格拉茨基
有朵云像你,2025,,movie,8.5,2026-03-24,　　“逝去的人会变成云，只要你足够思念，TA就会变成雨，穿过云层回来看你。”  　　随着雨季的临近，逝去的爱人秦天（屈楚萧 饰）竟然真的如约回到了妻子萧凡（王子文 饰）身边，而且是8年前相爱时年轻的样子！但秦天的记忆却被清零，忘记了与萧凡共度的时光。然而，在雨滴的见证下，两人在日复一日的相处中，曾经紧密相连的心也再度同频。这场奇迹似乎给了他们一次重新书写爱情的机会，倘若可以的话，真希望时间定格，雨不要停……,https://images.tmdb.org/t/p/w342/8qJpAnd4OvPVxWmR4xMX799r46e.jpg,https://images.tmdb.org/t/p/w780/qxoyP2yjtFhkdN4uWGF75uWeVwr.jpg,屈楚萧;王子文;王皓;何蓝逗;黄毅;吴彦姝;牛犇;陈庭煜
我要我们在一起,2021,,movie,7.5,2026-03-21,你有没有爱过一个人，曾经拼了命，只为和TA在一起。十年前，差生吕钦扬当众告白凌一尧，两人从校园步入社会，为了让她幸福，他不惜以命相搏。然而金钱、房子、婚姻等现实的考验，却将两人越推越远。十年长跑，他们能否还记得曾经刻在心底的约定：我要我们在一起。,https://images.tmdb.org/t/p/w342/1djhKzjDLQ7RGyr0fCbwr1aWlkQ.jpg,https://images.tmdb.org/t/p/w780/o6AoweA98cmZ6TzhugdNQZ4wY7Q.jpg,屈楚萧;张婧仪;孙宁;张垚;郑晓婉;李嘉灏;裴魁山;王春妹;张子贤;金世佳
一闪一闪亮星星,2023,,movie,8,2026-03-21,张万森（屈楚萧 饰）计划在高考后向暗恋已久的女生林北星（张佳宁 饰）表白，突如其来的演唱会事故却让一切变成了一场无可挽回的悲剧，没想到的是，痛苦无助的张万森竟意外重启了这个夏天，再次回到悲剧发生前的林北星身边，而重启夏天的秘密，仿佛没有想象中那么简单……这一次，拼尽全力 的张万森能否成功守护林北星，让所有刻骨铭心的遗憾都得以圆满？星河流转中的某个瞬间，青春里的那场绵绵大雪，能不能落在相爱的两人身上？ 电影版《一闪一闪亮星星》改编自同名电视剧。,https://images.tmdb.org/t/p/w342/5WAb43IVUkc7Ryuof2yj7zBiuK8.jpg,https://images.tmdb.org/t/p/w780/aZHgv0ukYln6a4LRcpGgGcu26G7.jpg,张佳宁;屈楚萧;傅菁;蒋昀霖;李尉尔;俞芊芊;于垚;张博鑫;莫宗龙;孙天宇
一闪一闪亮星星,2022,,tv,9,2026-03-19,一直为了追随爱情而放弃自我的林北星（张佳宁 饰）因男友出轨伤心至极，在收拾与前男友有关物品时意外删除旧手机中短信而频繁穿越回高中，但每当在最爽的时刻时总是被拽回现实世界。几经探索，林北星发现穿越的钥匙与张万森（屈楚萧 饰）有关，因此决心拯救张万森，展开了一段奇妙的时空救赎与相互成长的故事。,https://images.tmdb.org/t/p/w342/gPO0rT6tMEERZpiMvmb9XuvlGVW.jpg,https://images.tmdb.org/t/p/w780/6OTyoEqRq073t9IcaBesrhPtnRz.jpg,屈楚萧;张佳宁;吴希泽;傅菁;骆明劼;蒋昀霖;徐紫茵
生死钟声,2013,,tv,8,2026-03-15,　　讲述了因共党叛徒被国民党俘获后，出卖共党内部机密，潜伏在国民党内部的共产党员，为拯救共产党进步人士，并将共党人士安全送出上海，与国民党周旋斗智斗勇的故事。,https://images.tmdb.org/t/p/w342/1RfEknoGuYkeZiFYOhqpDYuEYem.jpg,https://images.tmdb.org/t/p/w780/ztXCgf5noHUevSZ7bz5TMAtRsDi.jpg,黄觉;王伟光;边潇潇;于毅;彭博;王翔弘;宋佳玲;隋名旸;武嘉辉;郝泽嘉
今日宜加油,2023,,tv,9,2026-03-15,企划三部曾是高发电子公司内部最神秘和风光的部门，但近三年却因屡次提出不靠谱的企划而导致地位一落千丈。但是企划三部的众人却以各自的方式，演绎着“平凡奋斗者”的生活。无论是职场“黑洞”李天然，还是追求内心平和淡然的女孩范思思，抑或是冷面热心肠的吴意美、选择奋斗不做纨绔子弟的白马帅，他们有自己的梦想、有自己的执着，也有对企划三部的深厚感情。他们和同事一起进步，陪公司一同成长。虽然面临着副董的故意挑刺、企划一部的竞争，但他们用努力一次次成功化解了危机，使企划三部重回巅峰，也让自己在笑中带泪的职场生活中成长，并收获了珍贵的爱情与友情。,https://images.tmdb.org/t/p/w342/c8vWXsLpfMvxeB2IhzH4kYUPGcw.jpg,https://images.tmdb.org/t/p/w780/8fAecVbCiAaZElg6m20LxtW042l.jpg,郑恺;陈钰琪;王鹤棣;张绍刚;梁超;钟丽丽;吴亚衡;程梓;袁文康;石羽
